,Spanish,German,Japanese,Korean
_Rim2ColorTexUV,UV,UV,UV,UV
_Rim2MainStrength,Mezcla con color principal,Hauptfarbmischung,メインカラーブレンド,메인 색상 블렌드
_Rim2NormalStrength,Intensidad de normales,Normale Stärke,ノーマルマップ(法線マップ)の強さ,노멀 강도
_Rim2Border,Borde del contorno,Grenze,境界,경계
_Rim2Blur,Desenfoque,Verwischen,ぼかし,블러
_Rim2FresnelPower,Potencia de Fresnel,Fresnel-Power,フレネルパワー,프레넬 파워
_Rim2EnableLighting,Activar iluminación,Beleuchtung aktivieren,光源を有効にする,조명 활성화
_Rim2ShadowMask,Máscara de sombra,Schattenmaske,影マスク,그림자 마스크
_Rim2BackfaceMask,Máscara de cara trasera,Backface-Maske,背面マスク,뒷면 마스크
_Rim2VRParallaxStrength,Intensidad de paralaje en realidad virtual,VR-Parallaxenstärke,VR視差の強さ,VR 시차 강도
_Rim2DirStrength,Intensidad por dirección de luz,Lichtrichtungsstärke,光の方向の強さ,빛 방향 강도
_Rim2DirRange,Rango direccional,Breite des Richtungslichts,方向ライト幅,방향성 라이트 너비
_Rim2IndirRange,Rango indirecto,Indirekte Lichtbreite,間接光源の幅,간접 라이트 너비
_Rim2IndirColor,Color indirecto,Indirekte Farbe,間接色,간접 색상
_Rim2IndirBorder,Borde indirecto,Umleitungsgrenze,間接境界,간접 경계
_Rim2IndirBlur,Desenfoque indirecto,Indirektionsunschärfe,間接ぼかし,간접 블러
_Rim2ShadowToggle,<size=13><b>Máscara por dirección de luz </b></size>,<size=13><b>Lichtrichtungsmaske</b></size>,<size=13><b>光の方向マスク</b></size>,<size=13><b>빛 방향 마스크</b></size>
_Rim2ShadowMaskRampType,Tipo de rampa,Light-Falloff-Typ,ライト 減衰 タイプ,라이트 감쇠 유형
_Rim2ShadowMaskInvert,Invertir máscara de sombra,Schattenmaske umkehren,影 マスクを反転,그림자 마스크 반전
_Rim2ShadowMaskStrength,Intensidad de la máscara de sombra,Stärke der Schattenmaske,影マスクの強さ,그림자 마스크 강도
_Rim2ShadowAlpha,Ocultar en la sombra,Im Schatten verstecken,影で隠れる,그림자에서 숨기기
_Rim2ShadowWidth,Reducir en la sombra,Im Schatten schrumpfen,影で縮小,그림자에서 축소
_Rim2HueShiftEnabled,<size=13><b>Cambio de tono </b></size>,<size=13><b>Farbtonverschiebung</b></size>,<size=13><b>ぼかしシフト</b></size>,<size=13><b>색조 시프트</b></size>
_Rim2HueShiftSpeed,Velocidad del cambio,Schaltgeschwindigkeit,シフトスピード,시프트 속도
_Rim2HueShift,Cambio de tono,Farbtonverschiebung,ぼかしシフト,색조 시프트
m_start_Rim2AudioLink,AudioLink ♫,Audiolink ♫,オーディオリンク♫,오디오링크 ♫
_AudioLinkRim2WidthBand,Banda de ancho del contorno,Breite Band hinzufügen,幅追加バンド,너비 추가 밴드
_AudioLinkRim2WidthAdd,Agregar ancho del contorno,Breite hinzufügen,幅追加,너비 추가
_AudioLinkRim2EmissionBand,Banda de emisión del contorno,Emissionsband hinzufügen,発光追加バンド,방출 추가 밴드
_AudioLinkRim2EmissionAdd,Agregar emisión,Emission Add,発光量追加,방출 추가
_AudioLinkRim2BrightnessBand,Banda de brillo,Helligkeitsband,明るさバンド,밝기 밴드
_AudioLinkRim2BrightnessAdd,Agregar brillo,Helligkeit hinzufügen,明るさの追加,밝기 추가
m_end_Rim2AudioLink,AudioLink,Audiolink,オーディオリンク,오디오링크
m_end_rim2LightOptions,Iluminación del contorno 2,Rim2-Beleuchtung,リムライティング2,림 라이팅 2
m_end_rimLightOptions,Iluminación del contorno,Felgenbeleuchtung,リムライト設定,림 라이트 설정
m_start_depthRimLightOptions,Profundidad de la iluminación del contorno,Tiefenrandbeleuchtung,深度 リム ライティング,깊이 림 라이팅
_DepthRimNormalToUse,Normal a usar,Normal zu verwenden,ノーマルマップ(法線マップ)の使用,사용할 노멀
_DepthRimType,Tipo de contorno,Felgentyp,リムの種類,림 유형
_DepthRimWidth,Ancho,Breite,幅,너비
_DepthRimSharpness,Nitidez,Tiefe,深さ,깊이
_DepthRimHideInShadow,Ocultar en la sombra,Im Schatten verstecken,影で隠れる,그림자에서 숨기기
_DepthRimMixBaseColor,Mezclar con color base,Verwenden Sie die Grundfarbe,ベースカラーを使用,베이스 색상 사용
_DepthRimMixLightColor,Mezcla con color de la luz,Helle Farbmischung,光源の色を混合する,라이트 색상 혼합
_DepthRimColor,Color del contorno,Felgenfarbe,リムの色,림 색상
_DepthRimBrightness,Brillo,Farbhelligkeit,色の明るさ,색상 밝기
_DepthRimEmission,Emisión,Emission,発光量,방출량
_DepthRimReplace,Reemplazar,Ersetzen,置換,교체
_DepthRimAdd,Agregar,Addieren,追加,추가
_DepthRimMultiply,Multiplicar,Multiplizieren,乗算,곱하기
_DepthRimAdditiveLighting,Agregar a la luz,Zum Licht hinzufügen,ライトに追加,라이트에 추가
m_end_depthRimLightOptions,Profundidad de la iluminación del contorno,Felgenbeleuchtung,リムライティング,림 라이팅
m_start_subsurfaceScattering,Dispersión subsuperficial (SSS),Untergrundstreuung,サブサーフェス スキャタリング,서브서피스 스캐터링
_SubsurfaceScattering,Activar SSS,Aktivieren,有効,활성화
_SSSColor,Color subsuperficial,Untergrundfarbe,サブサーフェス カラー,서브서피스 색상
_SSSThicknessMap,Mapa del grosor,Dickenkarte,厚さマップ,두께 맵
_SSSThicknessMapPan,Barrido,Schwenken,パンニング,패닝
_SSSThicknessMapUV,UV,UV,UV,UV
_SSSThicknessMapChannel,Canal,Kanal,チャンネル,채널
_SSSThicknessMod,Modificador del grosor,Dicke mod,厚さ変更,두께 모드
_SSSStrength,Intensidad de la luz,Lichtstärke,光の強さ,빛 강도
_SSSSpread,Dispersión,Lichtausbreitung,光の広がり,빛 확산
_SSSDistortion,Distorsión,Leichte Verzerrung,歪み,빛 왜곡
m_start_brdf,Reflexiones y especulares (PBR),Reflexionen & Specular,反射と鏡面反射,반사 & 스페큘러
_MochieBRDF,Activar PBR,Aktivieren,有効,활성화
_MochieReflectionStrength,Intensidad reflexiva,Reflexionsstärke,反射の強さ,반사 강도
_MochieSpecularStrength,Intensidad especular,Spiegelstärke,鏡面の強さ,스페큘러 강도
_MochieMetallicMultiplier,Multiplicador metálico,Metallisch,メタリック,메탈릭
_MochieRoughnessMultiplier,Multiplicador de suavidad,Glätte,滑らかさ,부드러움
_MochieReflectionTint,Tinte reflexivo,Reflexionstönung,反射の色合い,반사 틴트
_MochieSpecularTint,Tinte especular,Spiegelnde Tönung,反射光の色調整,스페큘러 틴트
_MochieMetallicMaps,Mapas PBR,Karten ],マップ (展開),맵 ]
_MochieMetallicMapsPan,Barrido,Schwenken,パンニング,패닝
_MochieMetallicMapsUV,UV,UV,UV,UV
_MochieMetallicMapsMetallicChannel,Canal metálico,Metallischer Kanal,メタリックチャンネル,메탈릭 채널
_MochieMetallicMapsRoughnessChannel,Canal de suavidad,Glattheitskanal,滑らかさチャンネル,부드러움 채널
_MochieMetallicMapsReflectionMaskChannel,Canal de máscara reflexiva,Reflexionsmaskenkanal,反射マスクチャンネル,반사 마스크 채널
_MochieMetallicMapsSpecularMaskChannel,Canal de máscara especular,Glanzmaskenkanal,鏡面反射マスクチャンネル,스페큘러 마스크 채널
_MochieMetallicMapInvert,Invertir metálico,Metallic umkehren,メタリックを反転,메탈릭 반전
_MochieRoughnessMapInvert,Invertir suavidad,Glätte umkehren,滑らかさを反転,부드러움 반전
_MochieReflectionMaskInvert,Invertir máscara reflexiva,Reflexionsmaske umkehren,反射マスクを反転,반사 마스크 반전
_MochieSpecularMaskInvert,Invertir máscara especular,Glanzmaske umkehren,鏡面反射マスクを反転,스페큘러 마스크 반전
_MochieMetallicMapsStochastic,Muestreo estocástico,Stochastisches Sampling,確率的サンプリング,확률적 샘플링
_PBRSplitMaskSample,<size=13><b>Muestreo de máscara dividida </b></size>,<size=13><b>Teilungsmasken-Sampling</b></size>,<size=13><b>分割マスク サンプリング</b></size>,<size=13><b>분할 마스크 샘플링</b></size>
_PBRMaskScaleTiling,Mosaico/Desplazamiento,Kacheln/Offset,Tiling/Offset,타일링/오프셋
_MochieMetallicMasksUV,UV,UV,UV,UV
_PBRSplitMaskStochastic,Muestreo estocástico,Stochastisches Sampling,確率的サンプリング,확률적 샘플링
_MochieMetallicMasksPan,Barrido,Schwenken,パンニング,패닝
_Specular2ndLayer,<size=13><b>Segunda capa especular </b></size>,<size=13><b> 2. Spiegel</b></size>,<size=13><b> 2 番目の反射光</b></size>,<size=13><b>두 번째 스페큘러</b></size>
_MochieSpecularStrength2,Intensidad,Stärke,強さ,강도
_MochieRoughnessMultiplier2,Suavidad,Glätte,滑らかさ,부드러움
_MochieReflCube,Mapa cúbico (Cubemap),Fallback-Cubemap,フォールバック キューブマップ,폴백 큐브맵
_MochieForceFallback,Forzar respaldo (Fallback),Rückfall erzwingen,強制フォールバック,강제 폴백
_MochieLitFallback,Respaldo iluminado,Fallback beleuchtet,点灯フォールバック,라이트 폴백
m_start_brdfadvanced,Avanzado,Fortschrittlich,高度な設定,고급 설정
_IgnoreCastedShadows,Ignorar sombras proyectadas,Ignoriere Schlagschatten,投影された影を無視する,투사된 그림자 무시
_PBRNormalSelect,Mezcla de las normales de píxeles,Pixel-Normalmischung,ピクセルノーマルを混合する,픽셀 노멀 블렌드
_RefSpecFresnel,Reflexión de Fresnel,Fresnel-Reflexion,フレネル反射,프레넬 반사
_MochieGSAAEnabled,<size=13><b>Suavizado de bordes geométricos (GSAA) </b></size>,<size=13><b>GSAA</b></size>,<size=13><b>GSAA</b></size>,<size=13><b>GSAA</b></size>
_PoiGSAAVariance,Varianza GSAA,GSAA-Varianz,GSAA 差異,GSAA 분산
_PoiGSAAThreshold,Umbral GSAA,GSAA-Schwellenwert,GSAA しきい値,GSAA 임계값
_BRDFTPSDepthEnabled,<size=13><b>Máscara de profundidad TPS activada </b></size>,<size=13><b> TPS-Tiefe aktiviert</b></size>,<size=13><b>TPS 深度有効</b></size>,<size=13><b>TPS 깊이 활성화됨</b></size>
_BRDFTPSReflectionMaskStrength,Intensidad de la máscara reflexiva,Stärke der Reflexionsmaske,反射マスクの強さ,반사 마스크 강도
_BRDFTPSSpecularMaskStrength,Intensidad de la máscara especular,Glanzmaskenstärke,反射光マスクの強さ,스페큘러 마스크 강도
m_start_brdfglobalmask,Máscara global,Globale Maske,グローバル マスク,글로벌 마스크
_MochieReflectionStrengthGlobalMask,Intensidad reflexiva,Reflexionsstärke,反射の強さ,반사 강도
_MochieReflectionStrengthGlobalMaskBlendType,Tipo de mezcla,Mischen,ブレンディング,블렌딩
_MochieSpecularStrengthGlobalMask,Intensidad especular,Spiegelstärke,鏡面の強さ,스페큘러 강도
_MochieSpecularStrengthGlobalMaskBlendType,Tipo de mezcla,Mischen,ブレンディング,블렌딩
m_start_clearCoat,Capa de barniz (Clear Coat),Klarlack,クリアコート,클리어 코트
_ClearCoatBRDF,Activar barniz,Aktivieren,有効,활성화
_ClearCoatStrength,Intensidad del barniz,ClearCoat-Stärke,クリアコートの強さ,클리어 코트 강도
_ClearCoatSmoothness,Suavidad,Glätte,滑らかさ,부드러움
_ClearCoatReflectionStrength,Intensidad reflexiva,Reflexionsstärke,反射の強さ,반사 강도
_ClearCoatSpecularStrength,Intensidad especular,Spiegelstärke,鏡面の強さ,스페큘러 강도
_ClearCoatReflectionTint,Tinte reflexivo,Reflexionstönung,反射の色合い,반사 틴트
_ClearCoatSpecularTint,Tinte especular,Spiegelnde Tönung,反射光の色調整,스페큘러 틴트
_ClearCoatMaps,Mapas,Karten ],マップ (展開),맵 ]
_ClearCoatMapsPan,Barrido,Schwenken,パンニング,패닝
_ClearCoatMapsUV,UV,UV,UV,UV
_ClearCoatMaskInvert,Invertir máscara,ClearCoat-Maske umkehren,クリアコートマスクを反転,클리어 코트 마스크 반전
_ClearCoatSmoothnessMapInvert,Invertir suavidad,Glätte umkehren,滑らかさを反転,부드러움 반전
_ClearCoatReflectionMaskInvert,Invertir máscara reflexiva,Reflexionsmaske umkehren,反射マスクを反転,반사 마스크 반전
_ClearCoatSpecularMaskInvert,Invertir máscara especular,Glanzmaske umkehren,鏡面反射マスクを反転,스페큘러 마스크 반전
_ClearCoatMapsStochastic,Muestreo estocástico,Stochastisches Sampling,確率的サンプリング,확률적 샘플링
_ClearCoatFallback,Mapa cúbico (Cubemap),Fallback-Cubemap,フォールバック キューブマップ,폴백 큐브맵
_ClearCoatForceFallback,Forzar respaldo (Fallback),Rückfall erzwingen,強制フォールバック,강제 폴백
_ClearCoatLitFallback,Respaldo iluminado,Fallback beleuchtet,点灯フォールバック,라이트 폴백
m_start_clearcoatadvanced,Avanzado,Fortschrittlich,高度な設定,고급 설정
_CCIgnoreCastedShadows,Ignorar sombras proyectadas,Ignoriere Schlagschatten,投影された影を無視する,투사된 그림자 무시
_ClearCoatNormalSelect,Mezcla de las normales de píxeles,Pixel-Normalmischung,ピクセルノーマルを混合する,픽셀 노멀 블렌드
_ClearcoatFresnel,Reflexión de Fresnel,Fresnel-Reflexion,フレネル反射,프레넬 반사
_ClearCoatGSAAEnabled,<size=13><b>Suavizado de bordes geométricos (GSAA) </b></size>,<size=13><b>GSAA</b></size>,<size=13><b>GSAA</b></size>,<size=13><b>GSAA</b></size>
_ClearCoatGSAAVariance,Varianza GSAA,GSAA-Varianz,GSAA 差異,GSAA 분산
_ClearCoatGSAAThreshold,Umbral GSAA,GSAA-Schwellenwert,GSAA しきい値,GSAA 임계값
_ClearCoatTPSDepthMaskEnabled,<size=13><b>Máscara de profundidad TPS activada </b></size>,<size=13><b> TPS-Tiefe aktiviert</b></size>,<size=13><b>TPS 深度有効</b></size>,<size=13><b>TPS 깊이 활성화됨</b></size>
_ClearCoatTPSMaskStrength,Intensidad de la máscara,Maskenstärke,マスクの強さ,마스크 강도
m_start_clearcoatglobalmask,Máscara global,Globale Maske,グローバル マスク,글로벌 마스크
_ClearCoatReflectionStrengthGlobalMask,Intensidad reflexiva,Reflexionsstärke,反射の強さ,반사 강도
_ClearCoatReflectionStrengthGlobalMaskBlendType,Tipo de mezcla,Mischen,ブレンディング,블렌딩
_ClearCoatSpecularStrengthGlobalMask,Intensidad especular,Spiegelstärke,鏡面の強さ,스페큘러 강도
_ClearCoatSpecularStrengthGlobalMaskBlendType,Tipo de mezcla,Mischen,ブレンディング,블렌딩
m_start_reflectionRim,Contorno ambiental,Umgebungsrand,環境リム,환경 림
_EnableEnvironmentalRim,Activar contorno ambiental,Aktivieren,有効,활성화
_RimEnviroMask,Máscara,Maske,マスク,마스크
_RimEnviroMaskPan,Barrido,Schwenken,パンニング,패닝
_RimEnviroMaskUV,UV,UV,UV,UV
_RimEnviroChannel,Canal,Kanal,チャンネル,채널
_RimEnviroBlur,Desenfoque,Verwischen,ぼかし,블러
_RimEnviroWidth,Ancho del contorno ambiental,Felgenbreite,リムの幅,림 너비
_RimEnviroSharpness,Nitidez del contorno ambiental,Felgenschärfe,リムのぼかし,림 선명도
_RimEnviroMinBrightness,Umbral de brillo mínimo,Min. Helligkeitsschwelle,明るさの下限しきい値,최소 밝기 임계값
_RimEnviroIntensity,Intensidad,Intensität,明るさ,강도
m_start_stylizedSpec,Especular estilizado,Stilisierte Spiegelung,定型化された鏡面反射光,스타일화된 스페큘러
_StylizedSpecular,Activar especular estilizado,Aktivieren,有効,활성화
_HighColor_Tex,Mapa especular,Spiegelnde Karte,反射光 マップ,스페큘러 맵
_HighColor_TexPan,Barrido,Schwenken,パンニング,패닝
_HighColor_TexUV,UV,UV,UV,UV
_HighColor,Color,Farbton,色合い,틴트
_Set_HighColorMask,Máscara,Maske,マスク,마스크
_Set_HighColorMaskPan,Barrido,Schwenken,パンニング,패닝
_Set_HighColorMaskUV,UV,UV,UV,UV
_Set_HighColorMaskChannel,Canal,Kanal,チャンネル,채널
_Tweak_HighColorMaskLevel,Ajuste del nivel de la máscara,Maskenebene,マスクレベル,마스크 레벨
_Is_SpecularToHighColor,Mezclar con color,Specular-Modus,鏡面モード,스페큘러 모드
_Is_BlendAddToHiColor,Tipo de mezcla añadida al color,Farbmischmodus,カラーブレンドモード,색상 블렌드 모드
_StylizedSpecularStrength,Intensidad,Stärke,強さ,강도
_UseLightColor,Usar color de la luz,Verwenden Sie helle Farbe,光源を使用,라이트 색상 사용
_SSIgnoreCastedShadows,Ignorar sombras proyectadas,Ignoriere Schlagschatten,投影された影を無視する,투사된 그림자 무시
_HighColor_Power,Tamaño de la capa 1,Größe,サイズ,크기
_StylizedSpecularFeather,Suavizado de la capa 1,Feder,フェザー,페더
_Layer1Strength,Intensidad de la capa 1,Stärke,強さ,강도
_Layer2Size,Tamaño de la capa 2,Größe,サイズ,크기
_StylizedSpecular2Feather,Suavizado de la capa 2,Feder,フェザー,페더
_Layer2Strength,Intensidad de la capa 2,Stärke,強さ,강도
m_start_backlight,Contraluz,Hintergrundbeleuchtung,バックライト,백라이트
_BacklightEnabled,Activar contraluz,Hintergrundbeleuchtung aktiviert,バックライト有効,백라이트 활성화됨
_BacklightColor,Color,Farbe,色,색상
_BacklightColorTex,Textura,Textur,テクスチャ,텍스처
_BacklightColorTexPan,Barrido,Schwenken,パンニング,패닝
_BacklightColorTexUV,UV,UV,UV,UV
_BacklightMainStrength,Mezcla del color principal,Hauptfarbmischung,メインカラーブレンド,메인 색상 블렌드
_BacklightNormalStrength,Intensidad de las normales,Normale Stärke,ノーマルマップ(法線マップ)の強さ,노멀 강도
_BacklightBorder,Borde,Grenze,境界,경계
_BacklightBlur,Desenfoque,Verwischen,ぼかし,블러
_BacklightDirectivity,Directividad,Richtwirkung,指向性,지향성
_BacklightViewStrength,Ver intensidad de la dirección,Richtungsstärke anzeigen,指向性の強さ,시야 방향 강도
_BacklightReceiveShadow,Recibir sombra,Erhalte Schatten,投影を適用する,그림자 받기
_BacklightBackfaceMask,Máscara de cara trasera,Backface-Maske,背面マスク,뒷면 마스크
m_end_backlight,Contraluz,Hintergrundbeleuchtung,バックライト,백라이트
m_OutlineCategory,Contornos,Umrisse,輪郭線 (アウトライン),윤곽선
_EnableOutlines,Activar contornos,Konturen aktivieren,輪郭線を有効にする,윤곽선 활성화
_OutlineExpansionMode,Modo,Modus,モード,모드
_OutlineSpace,Espacio,Raum,スペース,공간
_LineWidth,Tamaño del contorno,Umrissgröße,輪郭線サイズ,윤곽선 크기
_OutlineMask,Máscara del tamaño del contorno,Umrissgrößenmaske,輪郭線 サイズ マスク,윤곽선 크기 마스크
_LineColor,Color,Farbe,色,색상
_OutlineTexture,Textura del contorno,Umriss-Textur,輪郭線 テクスチャ,윤곽선 텍스처
_OutlineTexturePan,Barrido de la textura,Umriss-Textur-Pfanne,輪郭線 テクスチャ パン,윤곽선 텍스처 팬
_OutlineTextureUV,UV de la textura,UV,UV,UV
_OutlineMaskPan,Barrido,Schwenken,パンニング,패닝
_OutlineMaskUV,UV,UV,UV,UV
_OutlineMaskChannel,Canal,Kanal,チャンネル,채널
_OutlineTintMix,Mezcla de la textura principal,MainTex Mixin,MainTex ミックス,MainTex 혼합
_PoiUTSStyleOutlineBlend,Mezcla del estilo UTS2,UTS2-Stilmix,UTS2 スタイルで混合する,UTS2 스타일 블렌드
_OutlineRimLightBlend,Mezcla de luz de llanta,Randhelle Mischung,リムライトブレンド,림 라이트 블렌드
_OutlinePersonaDirection,Desplazamiento direccional,Richtungsoffset,方向オフセット,방향 오프셋
_OutlineDropShadowOffset,Dirección de caída,Drop-Richtung,ドロップ方向,드롭 방향
_OutlineEmission,Emisión del contorno,Umriss-Emission,輪郭線 発光量,윤곽선 방출
_OutlineLit,<size=13><b>Activar iluminación </b></size>,<size=13><b>Beleuchtung aktivieren</b></size>,<size=13><b>光源を有効にする</b></size>,<size=13><b>조명 활성화</b></size>
_OutlineShadowStrength,Intensidad de la sombra,Schattenstärke,影の強さ,그림자 강도
_OutlineFixedSize,<size=13><b>Tamaño fijo </b></size>,<size=13><b>Feste Größe</b></size>,<size=13><b>固定サイズ</b></size>,<size=13><b>고정 크기</b></size>
_OutlinesMaxDistance,Distancia máxima del tamaño fijo,Maximale Entfernung mit fester Größe,固定サイズの最大距離,고정 크기 최대 거리
_OutlineHueShift,<size=13><b>Cambio de tono </b></size>,<size=13><b>Farbtonverschiebung</b></size>,<size=13><b>ぼかしシフト</b></size>,<size=13><b>색조 시프트</b></size>
_OutlineHueOffset,Desplazamiento del tono,Schicht,シフト,시프트
_OutlineHueOffsetSpeed,Velocidad del desplazamiento,Schaltgeschwindigkeit,シフトスピード,시프트 속도
_OutlineAlphaDistanceFade,<size=13><b>Suavizado alfa respecto a la distancia </b></size>,<size=13><b> Abstand Alpha</b></size>,<size=13><b>距離アルファ</b></size>,<size=13><b>거리 알파</b></size>
_OutlineAlphaDistanceFadeType,Posición a usar,Zu verwendende Position,使用する位置,사용할 위치
_OutlineAlphaDistanceFadeMinAlpha,Alfa de distancia mínima,Mindestabstand Alpha,最小距離アルファ,최소 거리 알파
_OutlineAlphaDistanceFadeMaxAlpha,Alfa de distancia máxima,Maximale Entfernung Alpha,最大距離アルファ,최대 거리 알파
_OutlineAlphaDistanceFadeMin,Distancia mínima,Mindestabstand,最小距離,최소 거리
_OutlineAlphaDistanceFadeMax,Distancia máxima,Maximale Entfernung,最大距離,최대 거리
m_start_outlineAdvanced,Avanzado,Fortschrittlich,高度な設定,고급 설정
_OutlineUseVertexColorNormals,Normales de color de vértices,Scheitelpunkt-Farbnormalen,頂点カラーノーマル(法線),버텍스 색상 노멀
_OutlineVertexColorMask,Máscara de color de vértices,Vertex-Farbmaske,頂点カラー マスク,버텍스 색상 마스크
_OutlineVertexColorMaskStrength,Intensidad de la máscara,Stärke der VC-Maske,VC マスクの強さ,VC 마스크 강도
_OutlineClipAtZeroWidth,Recorte del cotorno a ancho cero,Clip 0 Breite,クリップ 0 幅,너비 0에서 클립
_OutlineOverrideAlpha,Anular el alfa base,Basis-Alpha überschreiben,ベースアルファを無視する,베이스 알파 덮어쓰기
_Offset_Z,Desplazamiento de la profundidad Z,Nocken Z-Offset,カム Z オフセット,캠 Z 오프셋
_OutlineCull,Descarte de caras (Cull),Pflücken,Cull (描画面),컬링
_OutlineZTest,Prueba de profundidad (ZTest),ZTest,Z Test,Z 테스트
m_end_outlineAdvanced,Avanzado,Fortschrittlich,高度な設定,고급 설정
m_start_OutlineAudioLink,AudioLink ♫,Audiolink ♫,オーディオリンク♫,오디오링크 ♫
_AudioLinkOutlineSizeBand,Banda del tamaño,Größenband,サイズバンド,크기 밴드
_AudioLinkOutlineSize,Modificador del tamaño,Größenmod,サイズ変更,크기 모드
_AudioLinkOutlineEmissionBand,Banda de emisión,Emissionsband,発光バンド,방출 밴드
_AudioLinkOutlineEmission,Modificador de emisión,Emissionsmod,発光モッド,방출 모드
m_end_OutlineAudioLink,AudioLink,Audiolink,オーディオリンク,오디오링크
m_specialFXCategory,Efectos especiales,Spezialeffekte,特殊FX,특수 효과
m_start_udimdiscardOptions,Opciones de descarte de teselas UV (UDIM),UV-Kacheln verwerfen,UVの破棄,UV 타일 버리기
_EnableUDIMDiscardOptions,Activar opciones de descarte UDIM,Aktivieren Sie die UDIM-Verwerfungsoptionen,UDIM 破棄オプションを有効にする,UDIM 버리기 옵션 활성화
_UDIMDiscardHelpbox,El descarte de teselas UV requiere una configuración de modelo especial. Coloque el objeto UV en diferentes teselas UV.,UV Tile Discard erfordert eine spezielle Modellkonfiguration. Platzieren Sie Objekt-UVs auf verschiedenen UV-Kacheln.,UV タイルの破棄には、特別なモデルのセットアップが必要です。オブジェクト UV を異なる UV タイルに配置します。,UV 타일 버리기는 특수 모델 설정이 필요합니다. 객체 UV를 다른 UV 타일에 배치하십시오.
_UDIMDiscardUV,Descarte UV,UV verwerfen,破棄するUV,버릴 UV
_UDIMDiscardMode,Modo de descarte,Verwerfungsmodus,破棄モード,버리기 모드
_UDIMDiscardRow3_0,v = 3,v = 3,v = 3,v = 3
_UDIMDiscardRow2_0,v = 2,v = 2,v = 2,v = 2
_UDIMDiscardRow1_0,v = 1,v = 1,v = 1,v = 1
_UDIMDiscardRow0_0,v = 0,v = 0,v = 0,v = 0
m_end_udimdiscardOptions,Opciones de descarte de teselas UV (UDIM),UV-Kacheln verwerfen,UV タイルの破棄,UV 타일 버리기
m_start_DepthBulge,Abultamiento de profundidad,Tiefe Wölbung,深度バルジ,깊이 벌지
_EnableDepthBulge,Activar abultamiento,Ausbuchtung,バルジ,벌지
_DepthBulgeWarning,El abultamiento de profundidad no escribe en profundidad,Depth FX schreibt nicht in die Tiefe was bestimmte transparente Effekte wie benutzerdefinierten Nebel und Raymarching beeinträchtigen kann,バルジは深度に書き込みません。,깊이 FX는 깊이에 쓰지 않으므로 사용자 정의 안개 및 레이마칭과 같은 특정 투명 효과에 영향을 줄 수 있습니다
_DepthBulgeMask,Máscara,Ausbuchtungsmaske,バルジマスク,벌지 마스크
_DepthBulgeMaskUV,UV,UV,UV,UV
_DepthBulgeMaskChannel,Canal,Kanal,チャンネル,채널
_DepthBulgeFadeLength,Distancia de toque,Berühren Sie Distanz,接触距離,접촉 거리
_DepthBulgeHeight,Altura del bulto,Wölbungshöhe,バルジの高さ,벌지 높이
m_end_DepthBulge,Abultamiento de profundidad,Tiefe Wölbung,深度バルジ,깊이 벌지
m_start_dissolve,Disolver,Sich auflösen,ディゾルブ,디졸브
_EnableDissolve,Activar disolver,Auflösen aktivieren,ディゾルブを有効にする,디졸브 활성화
_DissolveType,Tipo de disolución,Typ auflösen,ディゾルブタイプ,디졸브 유형
_DissolveEdgeWidth,Ancho del borde,Kantenbreite,エッジ幅,가장자리 너비
_DissolveEdgeHardness,Dureza del borde,Kantenhärte,エッジの鮮明さ,가장자리 경도
_DissolveEdgeColor,Color del borde,Kantenfarbe,エッジの色,가장자리 색상
_DissolveEdgeGradient,Gradiente del borde,Kantenverlauf,エッジグラデーション,가장자리 그라데이션
_DissolveEdgeEmission,Emisión del borde,Kantenemission,エッジの発光,가장자리 방출
_DissolveTextureColor,Color disuelto,Gelöste Farbe,ディゾルブの色,디졸브된 색상
_DissolveToTexture,Textura disuelta,Aufgelöste Textur,ディゾルブテクスチャー,디졸브된 텍스처
_DissolveToTexturePan,Barrido,Schwenken,パンニング,패닝
_DissolveToTextureUV,UV,UV,UV,UV
_DissolveToEmissionStrength,Intensidad de la emisión disuelta,Gelöste Emissionsstärke,ディゾルブの発光の強さ,디졸브된 방출 강도
_DissolveNoiseTexture,Gradiente de disolución,Farbverlauf auflösen,グラデーションをディゾルブ,디졸브 노이즈 텍스처
_DissolveNoiseTexturePan,Barrido,Schwenken,パンニング,패닝
_DissolveNoiseTextureUV,UV,UV,UV,UV
_DissolveInvertNoise,Invertir,Umkehren,反転,반전
_DissolveDetailNoise,Ruido de disolución,Rauschen auflösen,ディゾルブノイズ,디졸브 디테일 노이즈
_DissolveDetailNoisePan,Barrido,Schwenken,パンニング,패닝
_DissolveDetailNoiseUV,UV,UV,UV,UV
_DissolveInvertDetailNoise,Invertir,Umkehren,反転,반전
_DissolveDetailEdgeSmoothing,Suavizado del ruido,Detailrauschen glätten,ディテール ノイズ スムージング,디테일 노이즈 스무딩
_DissolveDetailStrength,Intensidad de la disolución,Detailstärke auflösen,ディゾルブ ディティール強度,디졸브 디테일 강도
_DissolveAlpha,Alfa de disolución,Alpha auflösen,ディゾルブアルファ,디졸브 알파
_DissolveMask,Máscara de disolución,Maske auflösen,ディゾルブマスク,디졸브 마스크
_DissolveMaskPan,Barrido,Schwenken,パンニング,패닝
_DissolveMaskUV,UV,UV,UV,UV
_DissolveMaskGlobalMask,Máscara global,Globale Maske,グローバル マスク,글로벌 마스크
